# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
4	Boot 3+	3	0.75	1.00	Boot 3+=3|boot 3+=1
4	Boot SQL	4	1.00	1.00	Boot SQL=1
4	Bourne	4	1.00	1.00	Bourne=5
4	BSI	4	1.00	0.33	BSI=3
4	C++ 5+	3	1.00	1.00	C++ 5+=2
4	C++ Basic	4	1.00	1.00	C++ Basic=3
4	C++ Python Experience	4	1.00	1.00	C++ Python Experience=1
4	CAI	4	1.00	0.25	CAI=4
4	CallKit	3	1.00	0.50	CallKit=4
4	Canada Life	3	1.00	0.25	Canada Life=4
4	Candidate Has 5+	4	1.00	1.00	Candidate Has 5+=1
4	Canvases	4	0.67	0.50	Canvases=4|canvases=2
4	Carthage	3	1.00	0.50	Carthage=4
4	Cases Solid	3	1.00	1.00	Cases Solid=2
4	Cassandra DB	3	1.00	1.00	Cassandra DB=4
4	CCDE	3	1.00	1.00	CCDE=4
4	CCIE Enterprise Infrastructure	4	1.00	0.33	CCIE Enterprise Infrastructure=3
4	CCPA Experience	4	1.00	1.00	CCPA Experience=1
4	CD Demonstrated	4	1.00	1.00	CD Demonstrated=1
4	CD Excellence	3	0.75	0.75	CD Excellence=3|CD excellence=1
4	CD governance	4	0.50	0.75	CD governance=2|CD Governance=2
4	CD Knowledge	4	0.67	1.00	CD Knowledge=2|CD knowledge=1
4	CD Nice	3	1.00	0.50	CD Nice=4
4	CD Python	4	1.00	1.00	CD Python=1
4	CD Track	4	1.00	1.00	CD Track=1
4	CDA	3	1.00	0.38	CDA=8
4	Center Configuration Manager	3	1.00	0.50	Center Configuration Manager=4
4	Ceph storage	3	0.40	0.20	Ceph storage=3|Ceph Storage=2
4	Certification ServiceNow	4	1.00	1.00	Certification ServiceNow=1
4	Certifications CCSP	3	1.00	1.00	Certifications CCSP=1
4	Certified Azure DevOps	4	1.00	1.00	Certified Azure DevOps=1
4	Certified CPQ	3	1.00	1.00	Certified CPQ=4
4	Certified CPQ Specialist	3	0.75	1.00	Certified CPQ Specialist=3|Certified CPQ specialist=1
4	Certified DevSecOps	4	1.00	1.00	Certified DevSecOps=3
4	Certified DevSecOps Professional	4	1.00	1.00	Certified DevSecOps Professional=3
4	Certified Endpoint	3	1.00	1.00	Certified Endpoint=1
4	Certified Endpoint Administrator	3	1.00	1.00	Certified Endpoint Administrator=1
4	Certified Network Security	4	1.00	0.25	Certified Network Security=4
4	Certified Salesforce	4	1.00	0.33	Certified Salesforce=3
4	Certified Security Administrator	4	1.00	0.25	Certified Security Administrator=4
4	Certinia	3	1.00	0.35	Certinia=20
4	Check Point Certified	3	1.00	0.43	Check Point Certified=7
4	Chromatic	4	1.00	0.60	Chromatic=5
4	Chronicle SOAR	3	1.00	0.50	Chronicle SOAR=4
4	CI Automated	4	1.00	1.00	CI Automated=1
4	CI Jira	3	1.00	1.00	CI Jira=1
4	Cisco Secure	4	0.67	0.33	Cisco Secure=2|Cisco secure=1
4	CISSP Associate	4	1.00	1.00	CISSP Associate=1
4	CKA certification	4	0.40	1.00	CKA certification=3|CKA Certification=2
4	CKS Certified	4	1.00	1.00	CKS Certified=1
4	Claude Preferred	4	0.50	0.50	Claude Preferred=1|Claude preferred=1
4	ClickOps	3	0.67	0.33	ClickOps=2|clickops=1
4	Cloud Consultant Salesforce	3	1.00	1.00	Cloud Consultant Salesforce=5
4	Cloud Custodian	4	1.00	0.50	Cloud Custodian=2
4	Cloud NAT	3	1.00	0.75	Cloud NAT=4
4	Cloud Platform Docker	4	1.00	1.00	Cloud Platform Docker=1
4	Cloud SQL Experience	3	1.00	1.00	Cloud SQL Experience=1
4	CloudFormation Preferred	3	1.00	1.00	CloudFormation Preferred=1
4	CloudHSM	4	1.00	0.75	CloudHSM=4
4	CloudSQL	4	1.00	0.80	CloudSQL=5
4	CloudTrail GuardDuty Security	4	1.00	1.00	CloudTrail GuardDuty Security=1
4	CMS solutions	4	0.40	0.40	CMS solutions=3|CMS Solutions=2
4	Code UI	4	0.50	1.00	Code UI=1|code UI=1
4	Competencies Deep	4	1.00	1.00	Competencies Deep=2
4	Competencies Enterprise	4	1.00	0.33	Competencies Enterprise=3
4	Competencies Proficient	3	1.00	1.00	Competencies Proficient=2
4	CompTIA Security+ Preferred	3	0.50	0.50	CompTIA Security+ Preferred=1|CompTIA Security+ preferred=1
4	Concur	4	1.00	0.62	Concur=8
4	Configuration Specialist	3	0.75	0.50	Configuration Specialist=3|configuration specialist=1
4	Confluence A	3	1.00	1.00	Confluence A=2
4	Confluence Excellent	3	1.00	1.00	Confluence Excellent=1
4	Confluence Knowledge	3	1.00	1.00	Confluence Knowledge=3
4	Confluence What	3	1.00	1.00	Confluence What=4
4	Confluent Kafka	3	1.00	0.80	Confluent Kafka=5
4	Conjur	3	1.00	0.50	Conjur=4
4	ConnectRPC	3	1.00	0.86	ConnectRPC=7
4	Contentstack	4	1.00	0.33	Contentstack=6
4	Controller Experience	3	0.50	0.50	Controller Experience=1|controller experience=1
4	COPS	3	1.00	0.50	COPS=2|CoPs=1|COps=1
4	Core APIs	3	0.75	0.25	Core APIs=3|core APIs=1
4	core CI	4	0.40	0.40	core CI=3|Core CI=2
4	Core Familiarity	4	1.00	1.00	Core Familiarity=1
4	CoreDNS	3	1.00	0.33	CoreDNS=3
4	CorpSec	4	1.00	0.25	CorpSec=4
4	Cortex XDR	4	1.00	0.29	Cortex XDR=7
4	Cpk	3	1.00	0.25	Cpk=4
4	creative director	4	0.50	0.25	creative director=2|Creative Director=2
4	Crestron	4	1.00	0.40	Crestron=5
4	cRIO	3	0.75	1.00	cRIO=2|CRIO=1|crio=1
4	CRM design	4	0.50	0.25	CRM design=2|CRM Design=2
4	Crossbeam	4	0.75	0.25	Crossbeam=3|crossbeam=1
4	CRS	4	1.00	0.20	CRS=3|CRs=2
4	Crunchy	3	1.00	1.00	Crunchy=4
4	CSD	3	1.00	0.60	CSD=5
4	CSS Work	4	1.00	1.00	CSS Work=2
4	CSS3 Responsive	4	1.00	1.00	CSS3 Responsive=1
4	CTAL	4	1.00	0.25	CTAL=4
4	CTEM	3	1.00	0.20	CTEM=10
4	Cucumber BDD	4	1.00	0.25	Cucumber BDD=4
4	Cursor Windsurf Claude	4	1.00	1.00	Cursor Windsurf Claude=1
4	cyber threat analyst	3	0.50	0.50	cyber threat analyst=2|Cyber Threat Analyst=2
4	CycloneDX	3	1.00	0.20	CycloneDX=5
4	Cypress Strong	3	1.00	0.50	Cypress Strong=2
4	DAL A	3	1.00	0.75	DAL A=4
4	Data Analyst Associate	4	1.00	1.00	Data Analyst Associate=4
4	Data Engineer AWS	3	1.00	0.50	Data Engineer AWS=2
4	data historians	3	0.50	0.25	data historians=2|Data Historians=2
4	Data Lake Azure	4	1.00	1.00	Data Lake Azure=1
4	Data Modeling Star	4	1.00	1.00	Data Modeling Star=1
4	Data Specialist	4	0.75	0.25	Data Specialist=3|data specialist=1
4	Data Studio	3	1.00	0.50	Data Studio=4
4	Database Engineer Location	3	1.00	0.50	Database Engineer Location=4
4	Databricks Data Lake	4	0.50	1.00	Databricks Data Lake=1|Databricks data lake=1
4	Databricks Exposure	3	1.00	1.00	Databricks Exposure=3
4	Databricks Professional	3	1.00	1.00	Databricks Professional=2
4	Databricks Why	4	1.00	1.00	Databricks Why=1
4	Databricks Why Join	4	1.00	1.00	Databricks Why Join=1
4	Datadog Cloud SIEM	4	1.00	0.29	Datadog Cloud SIEM=7
4	Datadog Understanding	4	1.00	1.00	Datadog Understanding=1
4	Dataplex	3	1.00	0.75	Dataplex=8
4	datasources	4	0.40	0.20	datasources=3|DataSources=2
4	Datenmodellierung	4	1.00	0.80	Datenmodellierung=5
4	DBA Experience	4	0.67	0.67	DBA Experience=2|DBA experience=1
4	Deep JVM	3	0.67	0.33	Deep JVM=2|deep JVM=1
4	Deequ	4	1.00	0.40	Deequ=5
4	DefectDojo	3	1.00	0.33	DefectDojo=3
4	Delta Lakes	3	1.00	0.50	Delta Lakes=4
4	Demandbase	4	1.00	0.67	Demandbase=3
4	Depth Solid	4	1.00	1.00	Depth Solid=1
4	Description Sr	4	1.00	1.00	Description Sr=1
4	Desired Technical Skills	4	1.00	1.00	Desired Technical Skills=1
4	Develop Helm	3	0.75	1.00	Develop Helm=3|develop Helm=1
4	Developer Tools API	3	1.00	1.00	Developer Tools API=1
4	DevExpress	4	1.00	0.80	DevExpress=5
4	Devops About	3	1.00	1.00	Devops About=1
4	DevOps Develop	4	1.00	0.50	DevOps Develop=2
4	DevOps DevOps	4	1.00	1.00	DevOps DevOps=1
4	DevOps Engineer Experience	4	1.00	0.50	DevOps Engineer Experience=2
4	DevOps Engineer Google	4	1.00	0.67	DevOps Engineer Google=3
4	DevOps Exp	3	1.00	1.00	DevOps Exp=1
4	DevOps preferred	3	0.50	1.00	DevOps preferred=2|DevOps Preferred=2
4	DevOps Server	4	1.00	1.00	DevOps Server=5|DEVOPS Server=1
4	Diagnostiquer	4	0.67	0.33	Diagnostiquer=2|diagnostiquer=1
4	Django Developer	3	1.00	0.75	Django Developer=4
4	DLQ	4	1.00	0.50	DLQ=4
4	DMPs	4	1.00	0.25	DMPs=4
4	Docker + Kubernetes	3	1.00	0.50	Docker + Kubernetes=4
4	Docker GitLab CI	4	1.00	1.00	Docker GitLab CI=1
4	Docker Hands	4	1.00	1.00	Docker Hands=1
4	Docker Why	3	1.00	1.00	Docker Why=3
4	DoD IL4	4	1.00	0.20	DoD IL4=3|DOD IL4=2
4	DRC	3	1.00	0.29	DRC=7
4	DTCs	4	1.00	0.33	DTCs=6
4	DX Experience	3	1.00	1.00	DX Experience=2
4	DynamoDB Familiarity	3	1.00	1.00	DynamoDB Familiarity=2
4	DynamoDB Hands	3	1.00	1.00	DynamoDB Hands=3
4	Dynatrace Strong	3	1.00	1.00	Dynatrace Strong=3
4	E5	4	1.00	0.33	E5=6
4	Echtzeit	3	1.00	0.20	Echtzeit=5
4	ECMAScript	4	1.00	0.75	ECMAScript=4
4	ECS Familiarity	4	1.00	1.00	ECS Familiarity=3
4	EDB	3	1.00	0.75	EDB=4
4	Einstein AI	4	1.00	0.60	Einstein AI=5
4	Elasticsearch Jenkins	3	1.00	1.00	Elasticsearch Jenkins=1
4	Elasticsearch Knowledge	4	1.00	1.00	Elasticsearch Knowledge=2
4	Elasticsearch preferred	3	0.50	0.50	Elasticsearch preferred=1|ElasticSearch Preferred=1
4	Elementor	3	1.00	1.00	Elementor=4
4	ELT pipeline development	4	0.40	0.40	ELT pipeline development=3|ELT Pipeline Development=2
4	Email Specialist	3	1.00	1.00	Email Specialist=4
4	Embedded Linux Engineer	4	1.00	0.25	Embedded Linux Engineer=4
4	EMR Databricks	3	1.00	1.00	EMR Databricks=1
4	EMRs	4	1.00	0.25	EMRs=4
4	Endpoint Administrator Associate	3	1.00	1.00	Endpoint Administrator Associate=1
4	Engineer Certified Kubernetes	4	1.00	1.00	Engineer Certified Kubernetes=2
4	Engineer Expertise	4	1.00	1.00	Engineer Expertise=1
4	Engineer Microsoft	4	1.00	1.00	Engineer Microsoft=1
4	Engineer Minimum	4	0.67	0.33	Engineer Minimum=2|Engineer minimum=1
4	Engineer Minimum 5	4	0.67	0.33	Engineer Minimum 5=2|Engineer minimum 5=1
4	Engineer Professional Certified	4	1.00	1.00	Engineer Professional Certified=1
4	Engineering TPM	4	1.00	0.50	Engineering TPM=2
4	Enterprise Engineer	3	0.50	0.50	Enterprise Engineer=2|enterprise engineer=2
4	Envoy Experience	3	1.00	1.00	Envoy Experience=1
4	EPLAN	4	1.00	0.50	EPLAN=4
4	ePO	3	1.00	0.20	ePO=9|EPO=1
4	ePolicy	3	1.00	0.62	ePolicy=8
4	ePolicy Orchestrator	3	1.00	0.62	ePolicy Orchestrator=8
4	espouse	3	0.50	0.25	espouse=2|Espouse=2
4	Excellent C	3	1.00	0.75	Excellent C=4
4	Excellent TypeScript	3	0.50	1.00	Excellent TypeScript=1|excellent TypeScript=1
4	Experience UI	4	1.00	0.50	Experience UI=2
4	Expert AWS Certified	3	1.00	1.00	Expert AWS Certified=1
4	Expert HashiCorp	3	1.00	1.00	Expert HashiCorp=3
4	Extensive C++	4	0.67	0.67	Extensive C++=2|extensive C++=1
4	Extras Experience	4	1.00	0.67	Extras Experience=3
4	Fabric Analytics	4	1.00	1.00	Fabric Analytics=2
4	Fabric Analytics Engineer	4	1.00	1.00	Fabric Analytics Engineer=2
4	Fabric Data Factory	4	1.00	1.00	Fabric Data Factory=4
4	Fabric Lakehouse	4	0.67	0.33	Fabric Lakehouse=2|Fabric lakehouse=1
4	Faro	3	1.00	0.33	Faro=6
4	FastAPI Node.js	4	1.00	1.00	FastAPI Node.js=1
4	FastAPI REST	3	1.00	1.00	FastAPI REST=2
4	Fiori Elements	3	1.00	1.00	Fiori Elements=4
4	FireHydrant	3	1.00	0.50	FireHydrant=4
4	FlashInfer	3	1.00	1.00	FlashInfer=4
4	Flink Familiarity	4	1.00	1.00	Flink Familiarity=1
4	Flux GitOps	4	1.00	1.00	Flux GitOps=1
4	FOG	3	0.57	0.57	FOG=4|fog=3
4	Formation Familiarity	4	1.00	1.00	Formation Familiarity=1
4	Frameworks Preferred Qualifications	4	1.00	1.00	Frameworks Preferred Qualifications=2
4	Freigabe	3	1.00	0.40	Freigabe=5
4	FrontDoor	3	1.00	1.00	FrontDoor=3|Frontdoor=2
4	Frontend Mastery	4	1.00	1.00	Frontend Mastery=1
4	FSI	3	1.00	0.25	FSI=8
4	Fundamentals CompTIA	4	1.00	1.00	Fundamentals CompTIA=1
4	Gatsby	4	1.00	1.00	Gatsby=5
4	GCP 3	3	1.00	1.00	GCP 3=2
4	GCP Background	4	1.00	1.00	GCP Background=2
4	GCP Contribute	3	1.00	1.00	GCP Contribute=1
4	GCP Exposure	4	1.00	1.00	GCP Exposure=1
4	GCP Interconnect	3	0.75	1.00	GCP Interconnect=3|GCP interconnect=1
4	GCP Network Security	3	0.67	0.67	GCP Network Security=2|GCP network security=1
4	GCP Own	4	1.00	1.00	GCP Own=2
4	GCP Secret	3	1.00	0.29	GCP Secret=7
4	GCP Secret Manager	3	1.00	0.29	GCP Secret Manager=7
4	GCP Write	3	1.00	1.00	GCP Write=2
4	GDSA	4	1.00	0.25	GDSA=4
4	Gemini Code	3	0.75	0.75	Gemini Code=3|Gemini code=1
4	GHA	4	1.00	0.50	GHA=4
4	GHAS	3	1.00	0.67	GHAS=3
4	GISF	3	1.00	0.25	GISF=4
4	Git ADDITIONAL REQUIREMENTS	3	1.00	1.00	Git ADDITIONAL REQUIREMENTS=2
4	Git Docker CI	3	1.00	1.00	Git Docker CI=2
4	Git Preferred Qualifications	4	0.50	0.50	Git Preferred Qualifications=1|git Preferred qualifications=1
4	Github Action	4	0.75	0.75	Github Action=3|github action=1
4	GitHub Runners	3	0.50	0.50	GitHub Runners=1|Github Runners=1|GitHub runners=1|Github runners=1
4	GitHub What	4	1.00	1.00	GitHub What=2
4	GitLab Ultimate	3	1.00	0.50	GitLab Ultimate=4
4	Go at	4	0.50	0.50	Go at=1|Go At=1
4	Go Experi	3	1.00	1.00	Go Experi=2
4	Go Experienced	3	1.00	1.00	Go Experienced=3
4	Go Key	4	1.00	1.00	Go Key=1
4	Go PREFERRED QUALIFICATIONS	3	1.00	1.00	Go PREFERRED QUALIFICATIONS=1
4	goede	4	0.40	0.20	goede=3|Goede=2
4	GoLang GraphQL	3	1.00	1.00	GoLang GraphQL=2
4	GoLang Proficient	3	1.00	1.00	GoLang Proficient=1
4	Golang You	4	1.00	1.00	Golang You=1
4	Good Linux	3	1.00	1.00	Good Linux=3
4	Google Cloud Certifications	4	0.50	0.50	Google Cloud Certifications=1|Google Cloud certifications=1
4	Google Cloud IAM	3	1.00	0.50	Google Cloud IAM=4
4	Google Cloud Run	4	1.00	1.00	Google Cloud Run=4
4	Google Cloud You	4	1.00	1.00	Google Cloud You=3
4	Google Workspace experience	4	0.50	1.00	Google Workspace experience=1|Google Workspace Experience=1
4	GORM	4	0.67	1.00	GORM=2|gorm=1
4	Governance Act	4	0.67	0.33	Governance Act=2|governance Act=1
4	GPUs Networking	4	1.00	1.00	GPUs Networking=1
4	Grafana A	3	1.00	0.33	Grafana A=3
4	Grafana CI	3	1.00	1.00	Grafana CI=2
4	GraphDB	4	1.00	1.00	GraphDB=8
4	Graphics Programmer	3	1.00	0.20	Graphics Programmer=5
4	GraphQL Cloud	3	1.00	1.00	GraphQL Cloud=1
4	GraphQL data	4	0.50	0.75	GraphQL data=2|GraphQL Data=2
4	GraphQL Proficiency	3	1.00	0.67	GraphQL Proficiency=3
4	Group Reporting	3	1.00	1.00	Group Reporting=3
4	Guidewire	4	1.00	0.20	Guidewire=5
4	HA architectures	3	0.40	0.60	HA architectures=3|HA Architectures=2
4	Hairpin	3	0.75	0.75	Hairpin=3|hairpin=1
4	Halcon	3	1.00	0.25	Halcon=4
4	Hat certification	3	0.50	0.25	Hat certification=2|Hat Certification=2
4	Have AWS Certifications	3	0.67	0.33	Have AWS Certifications=2|have AWS certifications=1
4	Have AWS Solutions	4	1.00	0.25	Have AWS Solutions=3|HAVE AWS Solutions=1
4	Have Google Workspace	4	0.50	0.25	Have Google Workspace=2|have Google Workspace=2
4	Helm Familiarity	4	1.00	1.00	Helm Familiarity=1
4	Helm Network	3	1.00	0.50	Helm Network=4
4	Helm Understanding	3	1.00	1.00	Helm Understanding=4
4	Hevo	3	1.00	1.00	Hevo=5
4	Hibernate Experience	3	1.00	0.67	Hibernate Experience=3
4	Hive Experience	4	1.00	1.00	Hive Experience=1
4	HS Diploma	4	1.00	0.33	HS Diploma=3
4	HSRP	4	1.00	0.75	HSRP=4
4	HTB	3	1.00	0.50	HTB=4
4	Huawei	4	1.00	0.40	Huawei=5
4	Hyperautomation	3	0.60	0.20	Hyperautomation=2|hyperautomation=2|HyperAutomation=1
4	I Preferred	3	1.00	1.00	I Preferred=3
4	i.MX	3	1.00	0.20	i.MX=5
4	Identity Microsoft	3	1.00	1.00	Identity Microsoft=1
4	IDM	4	1.00	0.67	IDM=3
4	II Experience	4	1.00	1.00	II Experience=1
4	Incarner	3	0.50	0.25	Incarner=2|incarner=2
4	inf	4	0.40	0.20	inf=3|INF=1|Inf=1
4	Influx	4	1.00	0.75	Influx=4
4	infrastructure Cisco	4	0.50	1.00	infrastructure Cisco=1|Infrastructure Cisco=1
4	Integrate LLM APIs	4	0.83	0.67	Integrate LLM APIs=5|integrate LLM APIs=1
4	Integrate SAP	3	0.50	0.25	Integrate SAP=2|integrate SAP=2
4	Integration Consultant	4	0.80	0.20	Integration Consultant=4|integration consultant=1
4	Intelligence Lab	3	1.00	0.25	Intelligence Lab=4
4	Intelligent Assistant	3	0.83	0.67	Intelligent Assistant=5|intelligent assistant=1
4	iOS Proficiency	3	1.00	1.00	iOS Proficiency=1
4	IPCs	3	1.00	0.20	IPCs=5
4	IPv6 Experience	3	1.00	1.00	IPv6 Experience=1
4	ITIL Foundations	4	1.00	0.25	ITIL Foundations=4
4	ITRS	3	1.00	0.20	ITRS=3|ITRs=2
4	IXIA	3	1.00	0.40	IXIA=5
4	JAMF 100	4	1.00	0.33	JAMF 100=2|Jamf 100=1
4	Japanese Preferred	3	1.00	0.50	Japanese Preferred=2
4	Japanese Preferred Qualifications	3	1.00	0.50	Japanese Preferred Qualifications=2
4	Java 5+	4	1.00	1.00	Java 5+=2
4	Java Ability	3	1.00	0.50	Java Ability=2
4	Java Develop	3	1.00	0.67	Java Develop=3
4	Java expert	4	0.50	0.50	Java expert=1|Java Expert=1
4	Java Frontend	3	1.00	1.00	Java Frontend=3
4	Java Integrate	4	1.00	0.50	Java Integrate=2
4	Java Our	4	1.00	1.00	Java Our=1
4	Java Script	3	1.00	1.00	Java Script=3
4	JavaScript Ability	3	1.00	1.00	JavaScript Ability=1
4	Javascript Comfortable	4	1.00	1.00	Javascript Comfortable=1|JavaScript Comfortable=1
4	JavaScript Database	3	1.00	1.00	JavaScript Database=3
4	JavaScript Required	3	0.50	1.00	JavaScript Required=2|JavaScript required=2
4	JavaScript REST	4	1.00	1.00	JavaScript REST=1
4	JAX Hands	4	1.00	1.00	JAX Hands=1
4	Jenkins Proficiency	4	1.00	1.00	Jenkins Proficiency=1
4	Jetson Experience	3	0.50	0.50	Jetson Experience=1|Jetson experience=1
4	Jira Excellent	4	1.00	1.00	Jira Excellent=3
4	Jira Product	3	1.00	1.00	Jira Product=4
4	Jira Product Discovery	3	1.00	1.00	Jira Product Discovery=4
4	Jira Service Desk	4	1.00	0.50	Jira Service Desk=2
4	Jira The	3	1.00	1.00	Jira The=1
4	Jotai	4	1.00	1.00	Jotai=3
4	JSI	4	1.00	1.00	JSI=4
4	JUnit CI	4	1.00	1.00	JUnit CI=1
4	Junit Experience	4	1.00	0.50	Junit Experience=1|JUnit Experience=1
4	JWKS	3	1.00	0.67	JWKS=6
4	JWT API	3	1.00	1.00	JWT API=1
4	K9s	3	1.00	1.00	K9s=5
4	Kafka Expertise	4	1.00	1.00	Kafka Expertise=2
4	Keras Experience	4	1.00	1.00	Keras Experience=1
4	Key Responsibilities DevOps	3	1.00	1.00	Key Responsibilities DevOps=1
4	Kinesis Streams	3	0.75	1.00	Kinesis Streams=3|Kinesis streams=1
4	Korn Shell	3	0.50	1.00	Korn Shell=2|Korn shell=2
4	Kotlin Hands	4	1.00	1.00	Kotlin Hands=2
4	Kotlin Kotlin	4	1.00	1.00	Kotlin Kotlin=1
4	Kotlin Multi Platform	4	1.00	0.50	Kotlin Multi Platform=2
4	KSP	3	1.00	0.60	KSP=5
4	Kubernetes DevSecOps	3	1.00	1.00	Kubernetes DevSecOps=1
4	Kubernetes Gateway	4	1.00	0.20	Kubernetes Gateway=5
4	Kubernetes Git CI	3	1.00	1.00	Kubernetes Git CI=1
4	Kubernetes GitLab CI	3	1.00	1.00	Kubernetes GitLab CI=2
4	Kubernetes Hadoop	3	1.00	1.00	Kubernetes Hadoop=2
4	Kubernetes Manage	4	1.00	0.50	Kubernetes Manage=2
4	Kubernetes MySQL	3	1.00	1.00	Kubernetes MySQL=1
4	Kubernetes Proficient	3	1.00	1.00	Kubernetes Proficient=2
4	Kubernetes RBAC	4	1.00	0.25	Kubernetes RBAC=4
4	Kubernetes Relevant	4	1.00	1.00	Kubernetes Relevant=1
4	Kubernetes Scripting	4	1.00	1.00	Kubernetes Scripting=2
4	Kubernetes Tools	3	0.75	1.00	Kubernetes Tools=3|Kubernetes tools=1
4	Kustomize Strong	3	0.67	1.00	Kustomize Strong=2|kustomize Strong=1
4	Lake Delta	4	1.00	1.00	Lake Delta=1
4	Lake Formation Familiarity	4	1.00	1.00	Lake Formation Familiarity=1
4	Lake Storage Gen2	3	1.00	1.00	Lake Storage Gen2=5
4	lakehouse modernization	3	0.50	0.25	lakehouse modernization=2|Lakehouse Modernization=2
4	LAMP	4	1.00	0.75	LAMP=4
4	Lance	3	1.00	0.22	Lance=9
4	Lead Fullstack	3	1.00	0.67	Lead Fullstack=2|Lead FullStack=1
4	leverage Google	4	0.50	0.50	leverage Google=1|Leverage Google=1
4	LFS	3	1.00	0.50	LFS=4
4	Life Annuity	3	1.00	1.00	Life Annuity=1
4	Lightdash	4	1.00	0.40	Lightdash=3|LightDash=2
4	Lightning Experience	3	1.00	1.00	Lightning Experience=5
4	Linux Administrator	4	1.00	0.50	Linux Administrator=4
4	Linux CI	4	1.00	1.00	Linux CI=1
4	Linux OS Experience	4	0.75	0.50	Linux OS Experience=3|Linux OS experience=1
4	Linux Proficient	3	1.00	0.33	Linux Proficient=3
4	Linux Systems Engineer	4	1.00	0.20	Linux Systems Engineer=5
4	Linux Windows Server	4	1.00	1.00	Linux Windows Server=1
4	Linux Working	3	1.00	1.00	Linux Working=2
4	Litmus	3	1.00	0.50	Litmus=8
4	LitmusChaos	4	1.00	1.00	LitmusChaos=4
4	LMCache	4	1.00	0.50	LMCache=4
4	LSTMs	4	1.00	0.20	LSTMs=5
4	LWCs	4	1.00	0.40	LWCs=5
4	macOS Knowledge	3	0.67	1.00	macOS Knowledge=2|macOS knowledge=1
4	Make.com	4	1.00	0.20	Make.com=5
4	Manage Google Workspace	4	1.00	0.50	Manage Google Workspace=2
4	Management UI	4	0.50	1.00	Management UI=1|management UI=1
4	Manager Application	4	1.00	1.00	Manager Application=1
4	Manager Automation	4	1.00	1.00	Manager Automation=1
4	Manager Github	3	1.00	1.00	Manager Github=2
4	Manager Github Actions	3	1.00	1.00	Manager Github Actions=2
4	Managment	3	0.75	0.25	Managment=3|managment=1
4	MapLibre	3	1.00	0.57	MapLibre=7
4	MariaDB NoSQL	4	1.00	1.00	MariaDB NoSQL=1
4	Mathematics Business Analytics	3	1.00	1.00	Mathematics Business Analytics=1
4	MATLAB Familiarity	3	1.00	1.00	MATLAB Familiarity=3
4	Matplotlib Experience	4	1.00	1.00	Matplotlib Experience=1
4	MDE	4	1.00	0.25	MDE=4
4	Mendix Experience	4	0.67	0.67	Mendix Experience=2|Mendix experience=1
4	Meraki wireless	3	0.50	0.25	Meraki wireless=2|Meraki Wireless=2
4	MEV	4	1.00	0.25	MEV=4
4	Microsoft Azure Azure	3	1.00	1.00	Microsoft Azure Azure=3
4	Microsoft Azure Security	3	1.00	0.33	Microsoft Azure Security=3
4	Microsoft Azure Strong	4	1.00	0.50	Microsoft Azure Strong=2
4	Microsoft Certified Systems	4	1.00	0.50	Microsoft Certified Systems=4
4	Microsoft Copilot Studio	3	0.80	0.20	Microsoft Copilot Studio=4|Microsoft copilot Studio=1
4	Microsoft Fabric experience	4	0.50	1.00	Microsoft Fabric experience=1|Microsoft Fabric Experience=1
4	Microsoft Intune Microsoft	3	1.00	1.00	Microsoft Intune Microsoft=1
4	Mirth	4	1.00	0.20	Mirth=5
4	ML Specialization	3	0.75	0.25	ML Specialization=3|ML specialization=1
4	MLOps Deployment	4	0.50	0.50	MLOps Deployment=1|MLOps deployment=1
4	Mobile Engineering Manager	4	1.00	0.25	Mobile Engineering Manager=4
4	Model View ViewModel	3	1.00	1.00	Model View ViewModel=3
4	ModelBuilder	3	1.00	1.00	ModelBuilder=4
4	MongoDB Observability	3	0.75	0.50	MongoDB Observability=3|MongoDB observability=1
4	MongoDB preferred	4	0.67	0.67	MongoDB preferred=1|MongoDB PREFERRED=1|MongoDB Preferred=1
4	MongoDB Strong	4	1.00	1.00	MongoDB Strong=1
4	MS Windows	4	1.00	0.80	MS Windows=5
4	MSBuild	4	1.00	1.00	MSBuild=6
4	Multisite	3	0.50	0.50	Multisite=2|multisite=2
4	NACLs Security	4	1.00	1.00	NACLs Security=1
4	Native A	3	1.00	1.00	Native A=1
4	Native Background	3	1.00	1.00	Native Background=2
4	native Japanese	3	0.50	0.25	native Japanese=2|Native Japanese=2
4	Native SDK	3	0.80	1.00	Native SDK=4|native SDK=1
4	Native Testing Library	3	1.00	1.00	Native Testing Library=4
4	Native What	4	1.00	1.00	Native What=1
4	NestJS PostgreSQL	4	1.00	1.00	NestJS PostgreSQL=1
4	Networks Certified	4	1.00	0.25	Networks Certified=4
4	Neuron	3	1.00	1.00	Neuron=4
4	Next.js +	3	1.00	1.00	Next.js +=3
4	Next.js Demonstrated	4	1.00	1.00	Next.js Demonstrated=1
