# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
185	Responsibilities Work	90	0.93	0.38	Responsibilities Work=37|responsibilities Work=3|RESPONSIBILITIES Work=2
184	DB	114	1.00	0.67	DB=220|db=1|dB=1|Db=1
184	Sigma	96	0.97	0.24	Sigma=431|sigma=13|SIGMA=2
182	GCP Experience	118	0.65	0.82	GCP Experience=37|GCP experience=20
182	Shopify	39	1.00	0.36	Shopify=280|shopify=1
181	OOP	106	1.00	0.49	OOP=197
180	VLANs	119	0.99	0.64	VLANs=196|VLANS=2|vlans=2
179	Microsoft Office	106	0.99	0.29	Microsoft Office=166|Microsoft office=1
178	SCIM	115	1.00	0.65	SCIM=266
177	Terraform Experience	114	0.52	0.71	Terraform Experience=33|Terraform experience=27|terraform Experience=3
175	AKS	101	1.00	0.86	AKS=229
174	USD At	14	1.00	0.22	USD At=166
173	API First	88	0.69	0.54	API First=9|API first=4
173	TensorRT	92	1.00	0.43	TensorRT=212
172	Azure Data	104	0.81	0.76	Azure Data=223|Azure data=52
171	CDN	82	1.00	0.29	CDN=243
171	Formation	85	0.57	0.21	Formation=174|formation=130
171	WAF	101	1.00	0.37	WAF=256
170	OAuth2	86	1.00	0.58	OAuth2=174|Oauth2=3
169	Clinic	23	0.80	0.30	Clinic=185|clinic=47
169	Python PowerShell	99	1.00	1.00	Python PowerShell=3
169	Sentry	79	0.98	0.31	Sentry=213|sentry=5
168	n8n	96	1.00	0.48	n8n=212|N8N=21
167	L3	85	1.00	0.22	L3=211
167	Tempo	59	0.89	0.27	Tempo=247|tempo=32
166	CrowdStrike	97	1.00	0.34	CrowdStrike=192|Crowdstrike=27
166	JWT	98	1.00	0.42	JWT=194
166	Kubernetes Terraform	95	1.00	1.00	Kubernetes Terraform=9
166	React Angular	94	1.00	1.00	React Angular=1
165	GraphQL APIs	108	1.00	0.60	GraphQL APIs=186
164	Prefect	99	1.00	0.91	Prefect=174
163	Go Experience	85	0.72	0.89	Go Experience=69|Go experience=27
163	Strong Linux	97	0.66	0.61	Strong Linux=57|strong Linux=29|Strong linux=1
161	CompTIA Security+	80	1.00	0.29	CompTIA Security+=122|COMPTIA Security+=2|CompTia Security+=1|Comptia Security+=1
161	Java Experience	91	0.77	0.81	Java Experience=71|Java experience=21|JAVA Experience=1
161	Kubernetes AWS	84	1.00	1.00	Kubernetes AWS=30
161	Sentinel	101	1.00	0.47	Sentinel=209
161	Weaviate	64	0.99	0.28	Weaviate=166|weaviate=1
161	Workato	61	0.99	0.29	Workato=333|workato=2
159	400+	16	1.00	0.27	400+=157
159	MySQL Postgres	35	1.00	1.00	MySQL Postgres=1
159	OpenAPI	88	1.00	0.65	OpenAPI=162|OpenApi=2
159	React Next.js	111	1.00	1.00	React Next.js=1
159	Wi Fi	88	1.00	1.00	Wi Fi=1
158	InfiniBand	43	1.00	0.24	InfiniBand=194|Infiniband=36|infiniband=1
157	CircleCI	78	1.00	0.85	CircleCI=158|Circleci=2|CircleCi=1
157	SD	84	1.00	0.43	SD=214
157	Weights	67	0.81	0.38	Weights=129|weights=31
156	Bloomberg	22	1.00	0.42	Bloomberg=171
156	CrewAI	90	0.98	0.22	CrewAI=176|crewai=3
156	Triton	85	0.99	0.66	Triton=173|triton=2|TRITON=1
155	APIs Microservices	74	1.00	0.80	APIs Microservices=5
155	RDBMS	71	1.00	0.91	RDBMS=158
154	E2E	103	1.00	0.25	E2E=162|e2e=36
153	AWS Bedrock	91	0.99	0.41	AWS Bedrock=176|aws bedrock=1
153	Trino	65	0.99	0.84	Trino=187|trino=1
152	React Node.js	54	1.00	1.00	React Node.js=3
150	Python Django	56	0.67	0.33	Python Django=2|python Django=1
148	Jenkins GitHub	83	1.00	1.00	Jenkins GitHub=1
148	System Administrator	88	0.87	0.34	System Administrator=150|system administrator=22|System administrator=1|SYSTEM ADMINISTRATOR=1
147	Apache Iceberg	89	0.99	0.54	Apache Iceberg=148|Apache iceberg=1
147	Bonus Qualifications	34	0.96	0.42	Bonus Qualifications=49|Bonus qualifications=2|BONUS QUALIFICATIONS=1
147	Rust Experience	61	0.51	0.74	Rust Experience=45|Rust experience=44
147	Snowflake Databricks	86	1.00	1.00	Snowflake Databricks=1
146	.NET Core	71	0.97	0.95	.NET Core=157|.Net Core=20|.NET core=6
146	e.g Kafka	87	1.00	1.00	e.g Kafka=1
145	Ansible Puppet	41	1.00	1.00	Ansible Puppet=1
145	AWS Lambda	95	1.00	0.68	AWS Lambda=124
